id,name,slug
1,Supply Chain,supply-chain
2,Deepfake,deepfake
3,Ransomware,ransomware
4,CISA,cisa
5,Zero Trust,zero-trust
6,Crimson Collective,crimson-collective
7,Agentic AI,agentic-ai
9,NVIDIA,nvidia
10,AI Hardware,ai-hardware
11,Quantum Computing,quantum-computing
12,Market Analysis,market-analysis
13,Infrastructure,infrastructure
14,Mobile Privacy,mobile-privacy
15,Galaxy S26,galaxy-s26
17,Silicon,silicon-tech
18,Aluminum OS,aluminum-os
19,Android PC,android-pc
20,Qualcomm,qualcomm
21,Open Source AI,open-source-ai
22,DeepSeek,deepseek
25,Sovereignty,sovereignty
26,Geopolitics,geopolitics
27,National Security,national-security
