Date,Clicks,Impressions,CTR,Position
2026-04-15,0,3,0%,1
2026-04-16,0,1,0%,3
2026-04-17,0,0,,
2026-04-18,0,2,0%,2
2026-04-19,0,1,0%,5
2026-04-20,0,0,,
2026-04-21,0,7,0%,1.4
2026-04-22,0,2,0%,3.5
2026-04-23,0,0,,
2026-04-24,0,3,0%,3
2026-04-25,0,1,0%,1
2026-04-26,0,2,0%,8
2026-04-27,1,3,33.33%,1
2026-04-28,0,1,0%,5
2026-04-29,0,0,,
2026-04-30,0,2,0%,4.5
2026-05-01,0,0,,
2026-05-02,0,1,0%,3
2026-05-03,0,12,0%,19.8
2026-05-04,0,8,0%,9.5
2026-05-05,0,26,0%,9.1
2026-05-06,0,16,0%,24.9
2026-05-07,0,16,0%,29.1
2026-05-08,0,20,0%,12.2
2026-05-09,0,27,0%,11.7
2026-05-10,0,24,0%,18.5
2026-05-11,0,15,0%,6.6
2026-05-12,0,29,0%,17.4
2026-05-13,0,18,0%,16.5
2026-05-14,0,11,0%,7.3
2026-05-15,0,14,0%,11.9
2026-05-16,0,35,0%,7.9
2026-05-17,0,39,0%,8.8
2026-05-18,0,38,0%,10.9
2026-05-19,0,23,0%,21.1
2026-05-20,0,19,0%,16.7
2026-05-21,0,20,0%,15.8
2026-05-22,0,16,0%,10.6
2026-05-23,0,14,0%,25.1
2026-05-24,0,8,0%,9.2
2026-05-25,0,6,0%,14.5
2026-05-26,0,23,0%,17.9
2026-05-27,0,13,0%,13.2
2026-05-28,0,8,0%,13.1
2026-05-29,0,18,0%,8.8
2026-05-30,0,19,0%,30.7
2026-05-31,0,25,0%,9.6
2026-06-01,0,24,0%,16.8
2026-06-02,0,14,0%,37.8
2026-06-03,0,26,0%,29.5
2026-06-04,0,20,0%,21.8
2026-06-05,0,34,0%,16.3
2026-06-06,0,51,0%,14.1
2026-06-07,0,42,0%,16.6
2026-06-08,0,29,0%,10.6
2026-06-09,0,24,0%,19.9
2026-06-10,1,30,3.33%,27.6
2026-06-11,0,7,0%,58.1
2026-06-12,0,6,0%,29
2026-06-13,0,13,0%,8.5
2026-06-14,0,11,0%,24.2
2026-06-15,0,8,0%,25.9
2026-06-16,0,10,0%,15.1
2026-06-17,0,9,0%,13.6
2026-06-18,0,7,0%,29.9
2026-06-19,0,5,0%,27.4
2026-06-20,0,5,0%,32.8
2026-06-21,0,3,0%,30.3
2026-06-22,0,5,0%,7.4
2026-06-23,0,3,0%,29
2026-06-24,0,6,0%,15.3
2026-06-25,0,1,0%,6
2026-06-26,0,2,0%,6.5
2026-06-27,0,0,,
2026-06-28,0,1,0%,4
2026-06-29,0,3,0%,8
2026-06-30,0,1,0%,12
2026-07-01,0,0,,
2026-07-02,0,0,,
2026-07-03,0,0,,
2026-07-04,0,0,,
2026-07-05,0,0,,
2026-07-06,0,0,,
2026-07-07,0,0,,
2026-07-08,0,0,,
2026-07-09,0,0,,
2026-07-10,0,0,,
2026-07-11,0,0,,
2026-07-12,0,0,,
2026-07-13,0,0,,
2026-07-14,0,0,,
