Country,Clicks,Impressions,CTR,Position
Philippines,1,9,11.11%,27.78
Kenya,1,4,25%,16.5
United States,0,500,0%,17.31
United Kingdom,0,36,0%,29.31
Canada,0,33,0%,8.58
Brazil,0,32,0%,12.78
China,0,31,0%,7.9
Germany,0,28,0%,13.5
Netherlands,0,25,0%,8.68
India,0,18,0%,15.06
Spain,0,16,0%,10.44
Vietnam,0,16,0%,15.06
France,0,15,0%,13.47
Mexico,0,13,0%,13.46
Australia,0,12,0%,26.58
Argentina,0,11,0%,23.18
United Arab Emirates,0,11,0%,43.64
Russia,0,10,0%,8.8
South Korea,0,7,0%,18.43
Iraq,0,7,0%,24.86
Italy,0,6,0%,11.33
Switzerland,0,5,0%,5.8
Sweden,0,5,0%,8.2
Hong Kong,0,5,0%,12.2
Indonesia,0,5,0%,17.4
Bangladesh,0,5,0%,21.8
Belgium,0,4,0%,8.5
Uruguay,0,4,0%,9.5
Colombia,0,4,0%,14.25
Saudi Arabia,0,4,0%,16.25
Ukraine,0,4,0%,16.75
Morocco,0,4,0%,17
Pakistan,0,4,0%,17.75
Poland,0,4,0%,18.25
Hungary,0,3,0%,5.33
Turkey,0,3,0%,8
Czechia,0,3,0%,8.33
Venezuela,0,3,0%,8.67
Romania,0,3,0%,9.67
Taiwan,0,3,0%,10.33
Austria,0,3,0%,14.67
Chile,0,3,0%,14.67
Ecuador,0,3,0%,15.67
Paraguay,0,3,0%,20
Egypt,0,3,0%,22.33
New Zealand,0,3,0%,24.33
Iran,0,2,0%,4.5
Greece,0,2,0%,5.5
Ireland,0,2,0%,7
Slovakia,0,2,0%,7
Puerto Rico,0,2,0%,8
Bulgaria,0,2,0%,8.5
Singapore,0,2,0%,8.5
Senegal,0,2,0%,12.5
South Africa,0,2,0%,13
Nigeria,0,2,0%,16
Norway,0,2,0%,16.5
Malaysia,0,2,0%,23.5
Israel,0,2,0%,26.5
Bolivia,0,2,0%,37.5
Cuba,0,1,0%,3
Georgia,0,1,0%,3
Bosnia & Herzegovina,0,1,0%,5
Nepal,0,1,0%,5
Thailand,0,1,0%,5
Latvia,0,1,0%,6
El Salvador,0,1,0%,6
Japan,0,1,0%,7
Guatemala,0,1,0%,9
Jordan,0,1,0%,9
Peru,0,1,0%,9
Qatar,0,1,0%,9
Afghanistan,0,1,0%,10
Finland,0,1,0%,10
Iceland,0,1,0%,10
Costa Rica,0,1,0%,11
Azerbaijan,0,1,0%,12
Portugal,0,1,0%,14
Rwanda,0,1,0%,14
Syria,0,1,0%,14
Lebanon,0,1,0%,17
Yemen,0,1,0%,17
Albania,0,1,0%,19
Ethiopia,0,1,0%,19
Suriname,0,1,0%,19
Jamaica,0,1,0%,23
Uzbekistan,0,1,0%,46
Fiji,0,1,0%,49
